user_id,question_id,correct,elapsed_time,knowledge_tag
0,0,0,53,algebra_basics
0,1,0,106,algebra_basics
0,2,0,58,algebra_basics
0,3,0,70,algebra_basics
0,4,0,61,algebra_basics
0,5,0,61,algebra_basics
0,6,0,55,algebra_basics
0,7,1,94,algebra_basics
0,8,1,67,algebra_basics
0,9,0,52,algebra_basics
0,10,1,102,algebra_basics
0,11,1,74,algebra_basics
0,12,1,60,algebra_basics
0,13,1,54,algebra_basics
0,14,1,79,algebra_basics
0,15,0,96,linear_equations
0,16,1,57,algebra_basics
0,17,0,69,linear_equations
0,18,1,82,linear_equations
0,19,1,51,algebra_basics
0,20,1,58,algebra_basics
0,21,1,64,linear_equations
0,22,0,70,linear_equations
0,23,0,127,linear_equations
0,24,1,78,linear_equations
0,25,1,66,algebra_basics
0,26,0,76,linear_equations
0,27,1,100,algebra_basics
0,28,0,89,linear_equations
0,29,0,63,linear_equations
0,30,1,77,linear_equations
0,31,1,67,linear_equations
0,32,1,82,linear_equations
0,33,0,87,quadratic_equations
0,34,1,54,algebra_basics
0,35,0,91,quadratic_equations
0,36,0,108,quadratic_equations
0,37,1,89,quadratic_equations
0,38,1,76,linear_equations
0,39,1,105,linear_equations
0,40,1,60,algebra_basics
0,41,1,208,linear_equations
0,42,1,74,algebra_basics
0,43,1,53,algebra_basics
0,44,0,131,quadratic_equations
0,45,1,55,algebra_basics
0,46,1,80,linear_equations
0,47,0,123,quadratic_equations
0,48,1,93,quadratic_equations
0,49,1,52,algebra_basics
1,50,0,66,algebra_basics
1,51,1,57,algebra_basics
1,52,0,91,algebra_basics
1,53,0,105,algebra_basics
1,54,1,75,algebra_basics
1,55,1,77,algebra_basics
1,56,1,88,algebra_basics
1,57,1,89,algebra_basics
1,58,1,48,algebra_basics
1,59,1,52,algebra_basics
1,60,0,79,linear_equations
1,61,0,73,linear_equations
1,62,0,66,linear_equations
1,63,0,114,linear_equations
1,64,1,63,algebra_basics
1,65,1,94,algebra_basics
1,66,0,68,linear_equations
1,67,1,97,linear_equations
1,68,1,97,linear_equations
1,69,1,61,algebra_basics
1,70,1,73,algebra_basics
1,71,1,49,algebra_basics
1,72,1,53,algebra_basics
1,73,1,73,algebra_basics
1,74,1,53,algebra_basics
1,75,0,83,linear_equations
1,76,0,79,linear_equations
1,77,0,95,linear_equations
1,78,1,51,algebra_basics
1,79,1,48,algebra_basics
1,80,1,92,linear_equations
1,81,1,77,linear_equations
1,82,1,65,algebra_basics
1,83,1,96,linear_equations
1,84,1,61,linear_equations
1,85,1,50,algebra_basics
1,86,1,63,algebra_basics
1,87,1,195,linear_equations
1,88,1,48,algebra_basics
1,89,0,75,quadratic_equations
1,90,1,98,linear_equations
1,91,1,48,algebra_basics
1,92,1,90,algebra_basics
1,93,1,58,algebra_basics
1,94,1,84,linear_equations
1,95,1,65,linear_equations
1,96,1,50,algebra_basics
1,97,1,67,algebra_basics
1,98,0,83,quadratic_equations
1,99,1,181,linear_equations
2,100,0,71,algebra_basics
2,101,0,68,algebra_basics
2,102,1,52,algebra_basics
2,103,0,94,algebra_basics
2,104,1,53,algebra_basics
2,105,0,50,algebra_basics
2,106,1,68,algebra_basics
2,107,1,53,algebra_basics
2,108,1,63,algebra_basics
2,109,1,56,algebra_basics
2,110,1,122,algebra_basics
2,111,0,63,linear_equations
2,112,1,64,algebra_basics
2,113,1,67,algebra_basics
2,114,0,86,linear_equations
2,115,0,63,linear_equations
2,116,0,95,linear_equations
2,117,0,115,linear_equations
2,118,0,60,linear_equations
2,119,0,88,linear_equations
2,120,0,108,linear_equations
2,121,0,61,linear_equations
2,122,1,64,linear_equations
2,123,0,100,linear_equations
2,124,0,68,linear_equations
2,125,1,82,algebra_basics
2,126,0,200,linear_equations
2,127,0,61,linear_equations
2,128,1,66,algebra_basics
2,129,0,95,linear_equations
2,130,1,73,linear_equations
2,131,1,60,linear_equations
2,132,1,128,algebra_basics
2,133,1,64,linear_equations
2,134,1,55,algebra_basics
2,135,1,59,algebra_basics
2,136,1,67,linear_equations
2,137,1,71,linear_equations
2,138,1,60,algebra_basics
2,139,1,68,algebra_basics
2,140,0,140,quadratic_equations
2,141,1,60,algebra_basics
2,142,0,81,quadratic_equations
2,143,1,49,algebra_basics
2,144,0,128,quadratic_equations
2,145,0,90,quadratic_equations
2,146,0,106,quadratic_equations
2,147,0,170,quadratic_equations
2,148,1,67,algebra_basics
